0: 41,54,2
1: 4,25,6
2: 0,3
3: 38,2,7
4: 1,6,8
5: 36,9,54
6: 8,10,20,25,53,1,4
7: 47,32,3,17
8: 6,20,4,47
9: 13,5,52,54
10: 6,20,29,53,19
11: 21,40
12: 32,45
13: 9,26,18,52,37,27
14: 36,34
15: 39,38,28,44
16: 20,45,35,47
17: 22,49,7,32,48
18: 24,13,26,37
19: 10,20,35
20: 6,8,10,19,35,16
21: 11,43
22: 17,49,48
23: 31,44,41,30,27
24: 18,33,26
25: 43,53,1,6
26: 13,33,36,24,18
27: 30,37,13,52,23
28: 31,44,15
29: 53,10
30: 46,37,27,23
31: 28,23,44
32: 12,7,47,17
33: 34,36,24,26
34: 33,14,36
35: 42,45,19,20,16
36: 5,14,34,33,26
37: 46,30,27,18,13
38: 3,44,15
39: 15,48
40: 11
41: 0,52,23,44
42: 45,35
43: 25,21
44: 28,31,23,41,38,15
45: 42,35,12,16
46: 30,37
47: 7,8,32,16
48: 17,22,39
49: 17,22
52: 41,54,9,13,27
53: 29,25,6,10
54: 0,52,5,9
