0: 41,54,56,2
1: 4,25,6
2: 0,56,3
3: 38,7,2,56
4: 1,6,8
5: 36,9,54
6: 8,10,20,53,1,4
7: 3,55,32,17
8: 6,20,4,47
9: 13,26,52,5,54
10: 6,20,29,53,19
11: 21,40
12: 32,45
13: 9,26,52,18,37,27
14: 36,34
15: 39,38,28,44
16: 45,35,20,47
17: 49,32,48,7
18: 24,13,26,37
19: 10,35
20: 6,8,10,35,16,47
21: 11,43
22: 49,48
23: 31,44,41,30,27
24: 18,33,26
25: 43,53,1
26: 9,13,33,36,24,18
27: 30,37,13,52,23
28: 31,44,15
29: 53,10
30: 46,37,27,23
31: 28,23
32: 12,55,7,17
33: 34,36,24,26
34: 33,14,36
35: 42,45,16,19,20
36: 5,14,34,33,26
37: 46,30,27,18,13
38: 3,41,44,15
39: 15,48
40: 11
41: 0,56,52,38,23,44
42: 45,35
43: 25,21
44: 28,23,41,38,15
45: 42,35,16,12
46: 30,37
47: 55,8,20,16
48: 17,22,39
49: 17,22
52: 9,13,41,54,27
53: 29,25,6,10
54: 0,5,9,52
55: 47,32,7
56: 0,41,2,3
