0: 261,6,75,242,145
221: 103,287,258,118,328
2: 164,284,236,89,317,4
149: 124,309,184,289
4: 89,55,323,2,284
199: 176,253,218,246,325
6: 250,0,75,320,240
323: 37,247,4,239,284
8: 241,272,21,291,318,324
158: 98,188,210,283
10: 161,299,274,109,303
167: 57,314,164,95,242
12: 245,103,265,244
13: 216,318,324
220: 184,144,275,17,307
15: 249,235,39,94,18,227
184: 220,144,149,22
17: 226,185,307,220,275
18: 176,94,218,15,281,227
235: 186,249,15,260,104,94
210: 280,283,188,158,282
21: 37,247,273,291,241,8
22: 124,268,307,231,184
23: 277,272,301,243
164: 2,95,236,312,57,167
219: 256,216
249: 186,235,207,15,39,297
181: 241,208,247,284,73
236: 164,2,284,73,312
230: 197,43,293,299,109
247: 37,21,323,241,181
275: 220,144,304,17
240: 6,320,266
232: 198,327,274
252: 36,243,231,298,268
214: 328,273,103,244,321
36: 252,187,298,113,268
37: 21,142,247,273,323,239
196: 279,285,300,315,98,271
39: 249,15,297,257,233,227
150: 254,269,276,255,104
250: 6,145,86,197
321: 244,256,291,316,214,273
43: 230,293,322
44: 287,265,282,278
151: 144,304
195: 316,245,305
234: 295,309
176: 94,253,218,18,199
188: 158,278,210,282
225: 138,326
53: 313,86,294,314,286,145
54: 107,277,296,319
55: 311,89,118,4,217,239
217: 311,118,55,257,258
57: 313,167,78,325,317,164
124: 149,113,22,268
197: 230,109,86,250
144: 220,184,151,275
241: 8,208,272,181,21,247
62: 259,270,302
276: 150,70,254,269,306
244: 316,321,245,12,214
206: 326
254: 150,70,276,253,246
246: 303,70,254,253,199,294
245: 305,12,244,195,316
251: 81,288
70: 254,276,161,303,246
201: 255
233: 280,257,283,39,297
73: 284,236,183,296,181
238: 138,267,326
75: 261,0,6,320,224
207: 186,249,297,315,259
186: 249,235,207,259,270,260
78: 57,325,218,317,281
237: 81,298,292,110,243
248: 290,138,224,267,304
81: 237,310,110,251,288
161: 10,274,327,70
216: 13,324,219,256
179: 226,264,95,261,242
325: 313,57,294,78,199
86: 53,286,197,250,145
253: 176,199,254,246
154: 285,300
89: 311,317,4,55,281,2
239: 118,55,37,142,323
224: 290,248,75,320,304
242: 261,0,145,167,314,95,179
257: 280,233,258,39,217,227
94: 176,18,104,235,15
95: 164,312,167,242,264,179
183: 73,312,296,264,319
227: 311,15,39,257,18
98: 262,158,271,196,279
185: 17,226
243: 252,23,237,298
102: 263,306,269
103: 287,265,221,12,328,214
104: 255,260,235,150,94
198: 232,274
255: 201,260,104,150,269
107: 54,231,226,319,307
256: 219,291,316,321,216,324
109: 286,299,10,197,230
110: 301,237,81
231: 107,252,22,268
142: 37,328,118,239
113: 124,268,36
208: 241,277,296,272,181
218: 176,18,199,281,78
226: 17,264,185,179,319,307,107
187: 298,292,36
118: 55,217,239,258,221,142
138: 290,248,267,225,238
145: 250,0,242,53,86,314
258: 280,257,221,118,217
259: 285,315,62,186,207
260: 270,255,104,186,235
261: 0,75,242,179
262: 98,279
263: 102,306
264: 226,179,319,95,183,312
265: 44,103,287,12
266: 290,240,320
267: 248,138,238
268: 113,124,22,36,231,252
269: 150,276,255,102,306
270: 302,260,62,186
271: 98,196,315,297,283
272: 241,23,8,208,301,318
273: 37,21,214,291,321
274: 161,299,10,198,232
277: 23,208,296,54
278: 188,44,282
279: 196,300,98,262
280: 210,257,233,258,283
281: 311,89,317,218,18,78
282: 44,287,188,278,210
283: 280,210,233,158,271
284: 2,236,73,4,323,181
285: 196,154,300,315,259
286: 109,303,53,86,294
287: 44,103,265,282,221
288: 251,81,310
289: 149,309,295
290: 248,266,138,224,320
291: 256,321,21,273,8,324
292: 237,187,310,298
293: 308,299,43,230
294: 53,325,286,303,246
295: 234,289,309
296: 277,208,183,73,54
297: 249,207,39,315,271,233
298: 237,187,292,36,243,252
299: 10,274,109,293,230
300: 196,154,279,285
301: 110,318,23,272
302: 270,62
303: 286,10,246,70,294
304: 151,275,248,224
305: 245,195
306: 102,263,269,276
307: 17,226,107,220,22
308: 293
309: 149,289,234,295
310: 81,292,288
311: 89,55,217,281,227
312: 164,95,236,183,264
313: 53,57,325
314: 53,167,242,145
315: 196,285,259,271,207,297
316: 244,195,256,321,245
317: 89,281,57,78,2
318: 13,301,324,8,272
319: 226,264,183,107,54
320: 6,75,240,290,266,224
322: 43
324: 13,216,318,256,291,8
326: 206,225,238
327: 232,161
328: 214,142,103,221
