#{"t_start": 1719836819.2817125, "env_id": "None"}
r,l,t
-13.0,8,0.009269
-15.0,6,0.032329
-14.0,7,0.036275
-14.0,7,0.039926
-14.0,7,0.043677
-14.0,7,0.047315
-13.0,8,0.050989
-15.0,6,0.054625
-15.0,6,0.058251
-15.0,6,0.061726
-14.0,7,0.065283
-14.0,7,0.06904
-14.0,7,0.072788
-14.0,7,0.076505
-15.0,6,0.080136
-14.0,7,0.08395
-14.0,7,0.08778
-15.0,6,0.091541
-14.0,7,0.095171
-14.0,7,0.098983
-15.0,6,0.102771
-15.0,6,0.106538
-14.0,7,0.110195
-14.0,7,0.113969
-14.0,7,0.117769
-15.0,6,0.121559
-14.0,7,0.1255
-15.0,6,0.129322
-15.0,6,0.133254
-14.0,7,0.137123
-14.0,7,0.141001
-15.0,6,0.144741
-14.0,7,0.148637
-14.0,7,0.152545
-14.0,7,0.156505
-14.0,7,0.160408
-15.0,6,0.164247
-13.0,8,0.168279
-13.0,8,0.172239
-14.0,7,0.176203
-15.0,6,0.18027
-14.0,7,0.184278
-15.0,6,0.188149
-14.0,7,0.192006
-13.0,8,0.195923
-13.0,8,0.199975
-13.0,8,0.20409
-14.0,7,0.207995
-15.0,6,0.211854
-15.0,6,0.215855
-14.0,7,0.219939
-14.0,7,0.223862
-15.0,6,0.228249
-14.0,7,0.232381
-14.0,7,0.236389
-15.0,6,0.240481
-15.0,6,0.244414
-15.0,6,0.248482
-15.0,6,0.252508
-14.0,7,0.256605
-15.0,6,0.260702
-15.0,6,0.264811
-14.0,7,0.268962
-13.0,8,0.273089
-15.0,6,0.277294
-15.0,6,0.281488
-15.0,6,0.285663
-15.0,6,0.289721
-15.0,6,0.293847
-15.0,6,0.298012
-14.0,7,0.30232
-14.0,7,0.306576
-14.0,7,0.31075
-15.0,6,0.314902
-14.0,7,0.319198
-14.0,7,0.323421
-14.0,7,0.327807
-15.0,6,0.332011
-14.0,7,0.336325
-14.0,7,0.340654
-15.0,6,0.344984
-14.0,7,0.349177
-14.0,7,0.353563
-14.0,7,0.358017
-14.0,7,0.36233
-15.0,6,0.36678
-15.0,6,0.371122
-14.0,7,0.375549
-13.0,8,0.380116
-13.0,8,0.384565
-14.0,7,0.389013
-14.0,7,0.393469
-15.0,6,0.397832
-14.0,7,0.4023
-14.0,7,0.406808
-15.0,6,0.41114
-15.0,6,0.415565
-14.0,7,0.420027
-14.0,7,0.424496
-14.0,7,0.42884
