#{"t_start": 1691330361.3101044, "env_id": null}
r,l,t
23.0,38,554.724819
27.0,44,1161.311833
25.0,42,1729.630107
26.0,43,2319.90061
38.0,63,3165.816496
26.0,44,3760.626416
21.0,35,4239.440587
32.0,54,4966.435984
19.0,31,5396.769942
34.0,57,6160.669515
22.0,35,6641.419717
40.0,65,7517.979282
25.0,41,8071.358079
39.0,64,8922.549809
29.0,47,9558.214789
54.0,88,10728.692873
32.0,53,11438.271669
22.0,36,11931.592604
18.0,30,12343.080369
22.0,35,12825.907399
27.0,45,13434.884314
32.0,52,14139.731818
23.0,38,14656.33717
19.0,31,15080.709188
45.0,75,16076.58514
21.0,34,16539.315472
32.0,52,17239.83739
33.0,54,17971.747627
22.0,36,18461.122147
24.0,38,18985.840286
22.0,35,19467.139444
26.0,43,20047.490604
17.0,28,20436.114302
40.0,65,21327.607958
23.0,37,21834.882473
19.0,32,22272.840572
21.0,34,22741.326468
19.0,31,23172.200348
19.0,31,23603.313744
27.0,45,24211.252373
23.0,38,24730.064455
18.0,30,25143.75093
21.0,36,25636.186551
23.0,37,26149.808825
23.0,37,26654.759152
21.0,34,27131.725677
19.0,30,27552.445424
31.0,51,28250.355335
30.0,51,28930.81245
18.0,29,29330.363257
25.0,41,29897.199565
72.0,120,31465.700508
21.0,34,31933.861542
30.0,48,32581.962112
72.0,120,34143.627004
25.0,40,34693.777006
19.0,32,35128.634086
28.0,47,35755.666316
42.0,69,36671.376787
27.0,45,37276.191655
28.0,45,37883.525059
23.0,38,38400.629143
44.0,72,39351.486035
20.0,32,39786.89742
20.0,32,40228.341278
31.0,50,40911.757839
22.0,36,41404.209357
31.0,50,42083.797196
19.0,33,42539.770221
33.0,54,43261.059648
23.0,38,43779.072752
18.0,30,44191.781358
25.0,41,44748.034271
29.0,48,45398.995053
26.0,42,45969.503189
35.0,58,46755.105674
25.0,41,47310.481488
72.0,120,48869.186118
25.0,41,49427.593452
30.0,50,50107.132423
19.0,32,50546.537372
27.0,44,51152.22987
72.0,120,52694.741649
20.0,31,53118.531398
20.0,32,53552.165283
71.0,120,55118.595341
24.0,40,55661.34391
29.0,49,56322.373369
24.0,38,56847.412946
71.0,120,58407.282666
23.0,37,58920.278109
31.0,50,59594.947433
22.0,36,60091.033415
32.0,52,60791.253412
23.0,37,61298.329052
24.0,39,61839.105428
29.0,48,62494.031923
23.0,38,63010.478152
30.0,49,63677.874008
34.0,56,64436.9594
